"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 06 21:41:03 IST 2019","Sat Jul 06 21:41:03 IST 2019","18","Tests","test_orange_hrm_login","TestOrangeHRM","","","test_homepagetitle",""
"passed","Sat Jul 06 21:41:15 IST 2019","Sat Jul 06 21:41:33 IST 2019","17916","Tests","test_orange_hrm_login","TestOrangeHRM","","","test_login_valid",""
