"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 06 21:59:23 IST 2019","Sat Jul 06 21:59:47 IST 2019","24079","Tests","test_orange_hrm_login","TestOrangeHRM","","","test_login_valid",""
"passed","Sat Jul 06 21:59:13 IST 2019","Sat Jul 06 21:59:13 IST 2019","7","Tests","test_orange_hrm_login","TestOrangeHRM","","","test_homepagetitle",""
